date,region,subregion,cases,deaths
2020-03-07,North-West,PIE,64,1
2020-03-07,North-West,LOM,808,19
2020-03-07,North-East,VEN,55,1
2020-03-07,North-East,TN,4,0
2020-03-07,North-East,BZ,5,0
2020-03-07,North-East,FVG,11,0
2020-03-07,North-East,EMR,140,11
2020-03-07,Centre,MAR,48,2
2020-03-07,Centre,TOS,34,0
2020-03-07,Centre,UMB,8,0
2020-03-07,Centre,LAZ,22,0
2020-03-07,South,ABR,2,0
2020-03-07,South,MOL,2,0
2020-03-07,South,CAM,4,0
2020-03-07,South,PUG,9,1
2020-03-07,Islands,SIC,11,0
2020-03-08,North-West,VDA,1,0
2020-03-08,North-West,LIG,27,2
2020-03-08,North-West,PIE,153,0
2020-03-08,North-West,LOM,769,113
2020-03-08,North-East,VEN,127,5
2020-03-08,North-East,TN,9,0
2020-03-08,North-East,FVG,15,1
2020-03-08,North-East,EMR,170,8
2020-03-08,Centre,MAR,65,1
2020-03-08,Centre,TOS,53,0
2020-03-08,Centre,UMB,2,0
2020-03-08,Centre,LAZ,11,2
2020-03-08,South,ABR,6,0
2020-03-08,South,CAM,40,0
2020-03-08,South,BAS,1,0
2020-03-08,South,PUG,14,1
2020-03-08,South,CAL,5,0
2020-03-08,Islands,SIC,18,0
2020-03-08,Islands,SAR,6,0
2020-03-09,North-West,VDA,6,0
2020-03-09,North-West,LIG,31,1
2020-03-09,North-West,PIE,-10,8
2020-03-09,North-West,LOM,1280,66
2020-03-09,North-East,VEN,74,2
2020-03-09,North-East,TN,10,0
2020-03-09,North-East,FVG,36,0
2020-03-09,North-East,EMR,206,14
2020-03-09,Centre,MAR,51,3
2020-03-09,Centre,TOS,42,1
2020-03-09,Centre,UMB,2,0
2020-03-09,Centre,LAZ,15,2
2020-03-09,South,ABR,13,0
2020-03-09,South,CAM,19,0
2020-03-09,South,BAS,1,0
2020-03-09,South,PUG,10,0
2020-03-09,South,CAL,2,0
2020-03-09,Islands,SIC,1,0
2020-03-09,Islands,SAR,8,0
2020-03-10,North-West,VDA,2,0
2020-03-10,North-West,LIG,32,1
2020-03-10,North-West,PIE,103,4
2020-03-10,North-West,LOM,322,135
2020-03-10,North-East,VEN,112,6
2020-03-10,North-East,TN,19,0
2020-03-10,North-East,BZ,29,0
2020-03-10,North-East,FVG,23,2
2020-03-10,North-East,EMR,147,15
2020-03-10,Centre,MAR,71,3
2020-03-10,Centre,TOS,56,0
2020-03-10,Centre,UMB,9,0
2020-03-10,Centre,LAZ,14,1
2020-03-10,South,ABR,8,1
2020-03-10,South,MOL,1,0
2020-03-10,South,CAM,7,0
2020-03-10,South,BAS,2,0
2020-03-10,South,PUG,9,0
2020-03-10,South,CAL,2,0
2020-03-10,Islands,SIC,8,0
2020-03-10,Islands,SAR,1,0
2020-03-11,North-West,VDA,3,1
2020-03-11,North-West,LIG,53,0
2020-03-11,North-West,PIE,48,4
2020-03-11,North-West,LOM,1489,149
2020-03-11,North-East,VEN,167,3
2020-03-11,North-East,TN,25,0
2020-03-11,North-East,BZ,37,0
2020-03-11,North-East,FVG,10,3
2020-03-11,North-East,EMR,206,28
2020-03-11,Centre,MAR,85,5
2020-03-11,Centre,TOS,56,0
2020-03-11,Centre,UMB,9,0
2020-03-11,Centre,LAZ,34,0
2020-03-11,South,MOL,1,0
2020-03-11,South,CAM,27,1
2020-03-11,South,BAS,1,0
2020-03-11,South,PUG,18,2
2020-03-11,South,CAL,6,0
2020-03-11,Islands,SIC,21,0
2020-03-11,Islands,SAR,17,0
2020-03-12,North-West,VDA,7,0
2020-03-12,North-West,LIG,80,3
2020-03-12,North-West,PIE,79,5
2020-03-12,North-West,LOM,1445,127
2020-03-12,North-East,VEN,361,3
2020-03-12,North-East,TN,30,1
2020-03-12,North-East,BZ,29,1
2020-03-12,North-East,FVG,41,2
2020-03-12,North-East,EMR,208,33
2020-03-12,Centre,MAR,113,4
2020-03-12,Centre,TOS,44,4
2020-03-12,Centre,UMB,18,0
2020-03-12,Centre,LAZ,50,3
2020-03-12,South,ABR,46,1
2020-03-12,South,CAM,25,0
2020-03-12,South,PUG,27,0
2020-03-12,South,CAL,14,0
2020-03-12,Islands,SIC,32,2
2020-03-12,Islands,SAR,2,0
2020-03-13,North-West,VDA,1,0
2020-03-13,North-West,LIG,71,6
2020-03-13,North-West,PIE,260,20
2020-03-13,North-West,LOM,1095,146
2020-03-13,North-East,VEN,211,10
2020-03-13,North-East,TN,56,1
2020-03-13,North-East,BZ,21,1
2020-03-13,North-East,FVG,90,2
2020-03-13,North-East,EMR,316,55
2020-03-13,Centre,MAR,133,5
2020-03-13,Centre,TOS,106,0
2020-03-13,Centre,UMB,12,1
2020-03-13,Centre,LAZ,77,2
