date,region,subregion,cases,deaths
2020-04-05,Centre,MAR,123,25
2020-04-05,Centre,TOS,176,18
2020-04-05,Centre,UMB,29,2
2020-04-05,Centre,LAZ,123,7
2020-04-05,South,ABR,75,5
2020-04-05,South,MOL,18,2
2020-04-05,South,CAM,132,3
2020-04-05,South,BAS,14,2
2020-04-05,South,PUG,77,9
2020-04-05,South,CAL,54,7
2020-04-05,Islands,SIC,62,5
2020-04-05,Islands,SAR,33,2
2020-04-06,North-West,VDA,23,5
2020-04-06,North-West,LIG,100,39
2020-04-06,North-West,PIE,562,83
2020-04-06,North-West,LOM,1079,297
2020-04-06,North-East,VEN,362,31
2020-04-06,North-East,TN,63,13
2020-04-06,North-East,BZ,78,6
2020-04-06,North-East,FVG,55,4
2020-04-06,North-East,EMR,467,57
2020-04-06,Centre,MAR,150,13
2020-04-06,Centre,TOS,154,25
2020-04-06,Centre,UMB,14,1
2020-04-06,Centre,LAZ,151,10
2020-04-06,South,ABR,18,11
2020-04-06,South,CAM,98,15
2020-04-06,South,BAS,9,0
2020-04-06,South,PUG,127,13
2020-04-06,South,CAL,22,2
2020-04-06,Islands,SIC,52,7
2020-04-06,Islands,SAR,15,4
2020-04-07,North-West,VDA,30,4
2020-04-07,North-West,LIG,208,25
2020-04-07,North-West,PIE,419,68
2020-04-07,North-West,LOM,791,282
2020-04-07,North-East,VEN,337,33
2020-04-07,North-East,TN,128,14
2020-04-07,North-East,BZ,89,10
2020-04-07,North-East,FVG,50,6
2020-04-07,North-East,EMR,269,72
2020-04-07,Centre,MAR,96,18
2020-04-07,Centre,TOS,172,19
2020-04-07,Centre,UMB,10,5
2020-04-07,Centre,LAZ,118,9
2020-04-07,South,ABR,78,3
2020-04-07,South,CAM,90,12
2020-04-07,South,BAS,4,1
2020-04-07,South,PUG,70,14
2020-04-07,South,CAL,16,2
2020-04-07,Islands,SIC,51,2
2020-04-07,Islands,SAR,13,5
2020-04-08,North-West,VDA,15,2
2020-04-08,North-West,LIG,149,34
2020-04-08,North-West,PIE,540,59
2020-04-08,North-West,LOM,1089,238
2020-04-08,North-East,VEN,485,41
2020-04-08,North-East,TN,126,11
2020-04-08,North-East,BZ,24,9
2020-04-08,North-East,FVG,65,5
2020-04-08,North-East,EMR,409,54
2020-04-08,Centre,MAR,149,22
2020-04-08,Centre,TOS,206,23
2020-04-08,Centre,UMB,26,1
2020-04-08,Centre,LAZ,117,6
2020-04-08,South,ABR,60,7
2020-04-08,South,MOL,2,0
2020-04-08,South,CAM,120,5
2020-04-08,South,BAS,6,0
2020-04-08,South,PUG,120,10
2020-04-08,South,CAL,26,0
2020-04-08,Islands,SIC,62,8
2020-04-08,Islands,SAR,40,7
2020-04-09,North-West,VDA,18,3
2020-04-09,North-West,LIG,114,28
2020-04-09,North-West,PIE,639,76
2020-04-09,North-West,LOM,1388,300
2020-04-09,North-East,VEN,523,20
2020-04-09,North-East,TN,106,13
2020-04-09,North-East,BZ,68,4
2020-04-09,North-East,FVG,81,2
2020-04-09,North-East,EMR,443,82
2020-04-09,Centre,MAR,96,17
2020-04-09,Centre,TOS,173,16
2020-04-09,Centre,UMB,9,1
2020-04-09,Centre,LAZ,163,9
2020-04-09,South,ABR,72,15
2020-04-09,South,MOL,8,0
2020-04-09,South,CAM,76,6
2020-04-09,South,BAS,6,1
2020-04-09,South,PUG,82,6
2020-04-09,South,CAL,15,1
2020-04-09,Islands,SIC,73,5
2020-04-09,Islands,SAR,51,5
2020-04-10,North-West,VDA,11,2
2020-04-10,North-West,LIG,171,27
2020-04-10,North-West,PIE,490,78
2020-04-10,North-West,LOM,1246,216
2020-04-10,North-East,VEN,488,37
2020-04-10,North-East,TN,108,7
2020-04-10,North-East,BZ,52,4
2020-04-10,North-East,FVG,50,8
2020-04-10,North-East,EMR,451,81
2020-04-10,Centre,MAR,129,13
2020-04-10,Centre,TOS,175,46
2020-04-10,Centre,UMB,4,1
2020-04-10,Centre,LAZ,154,10
2020-04-10,South,ABR,83,4
2020-04-10,South,MOL,9,0
2020-04-10,South,CAM,98,4
2020-04-10,South,BAS,5,0
2020-04-10,South,PUG,93,13
2020-04-10,South,CAL,27,4
2020-04-10,Islands,SIC,70,10
2020-04-10,Islands,SAR,37,5
2020-04-11,North-West,VDA,23,0
2020-04-11,North-West,LIG,185,25
2020-04-11,North-West,PIE,996,101
2020-04-11,North-West,LOM,1544,273
2020-04-11,North-East,VEN,347,38
2020-04-11,North-East,TN,154,9
2020-04-11,North-East,BZ,2,9
2020-04-11,North-East,FVG,44,6
2020-04-11,North-East,EMR,507,84
2020-04-11,Centre,MAR,127,7
2020-04-11,Centre,TOS,231,13
2020-04-11,Centre,UMB,7,0
2020-04-11,Centre,LAZ,140,10
2020-04-11,South,ABR,106,8
2020-04-11,South,MOL,3,1
2020-04-11,South,CAM,75,7
2020-04-11,South,BAS,4,2
2020-04-11,South,PUG,95,15
2020-04-11,South,CAL,14,1
2020-04-11,Islands,SIC,62,6
2020-04-11,Islands,SAR,28,4
2020-04-12,North-West,VDA,19,5
2020-04-12,North-West,LIG,118,15
2020-04-12,North-West,PIE,652,96
2020-04-12,North-West,LOM,1460,110
2020-04-12,North-East,VEN,309,25
2020-04-12,North-East,TN,83,9
2020-04-12,North-East,BZ,141,5
2020-04-12,North-East,FVG,38,10
2020-04-12,North-East,EMR,463,83
2020-04-12,Centre,MAR,92,11
2020-04-12,Centre,TOS,277,28
2020-04-12,Centre,UMB,10,0
2020-04-12,Centre,LAZ,122,6
2020-04-12,South,ABR,40,6
2020-04-12,South,MOL,11,1
2020-04-12,South,CAM,87,4
2020-04-12,South,BAS,3,1
2020-04-12,South,PUG,85,7
2020-04-12,South,CAL,8,0
2020-04-12,Islands,SIC,52,9
2020-04-12,Islands,SAR,22,0
2020-04-13,North-West,VDA,6,3
2020-04-13,North-West,LIG,102,11
2020-04-13,North-West,PIE,474,97
2020-04-13,North-West,LOM,1262,280
2020-04-13,North-East,VEN,174,26
2020-04-13,North-East,TN,73,7
2020-04-13,North-East,BZ,51,7
2020-04-13,North-East,FVG,51,7
2020-04-13,North-East,EMR,342,51
2020-04-13,Centre,MAR,78,13
2020-04-13,Centre,TOS,155,23
2020-04-13,Centre,UMB,1,0
2020-04-13,Centre,LAZ,123,5
2020-04-13,South,ABR,53,12
2020-04-13,South,CAM,66,6
2020-04-13,South,BAS,4,0
2020-04-13,South,PUG,76,7
2020-04-13,South,CAL,5,1
2020-04-13,Islands,SIC,42,8
2020-04-13,Islands,SAR,15,2
2020-04-14,North-West,VDA,20,3
2020-04-14,North-West,LIG,212,33
2020-04-14,North-West,PIE,556,101
2020-04-14,North-West,LOM,1012,241
2020-04-14,North-East,VEN,181,24
2020-04-14,North-East,TN,15,10
2020-04-14,North-East,BZ,35,2
2020-04-14,North-East,FVG,38,4
2020-04-14,North-East,EMR,312,90
2020-04-14,Centre,MAR,45,15
2020-04-14,Centre,TOS,137,20
2020-04-14,Centre,UMB,1,1
2020-04-14,Centre,LAZ,143,16
2020-04-14,South,ABR,32,8
2020-04-14,South,CAM,99,12
2020-04-14,South,BAS,0,1
2020-04-14,South,PUG,53,11
2020-04-14,South,CAL,28,1
2020-04-14,Islands,SIC,43,4
2020-04-14,Islands,SAR,10,5
2020-04-15,North-West,VDA,11,3
2020-04-15,North-West,LIG,128,14
2020-04-15,North-West,PIE,539,88
2020-04-15,North-West,LOM,827,235
2020-04-15,North-East,VEN,192,34
2020-04-15,North-East,TN,79,8
2020-04-15,North-East,BZ,40,9
2020-04-15,North-East,FVG,24,6
2020-04-15,North-East,EMR,277,83
2020-04-15,Centre,MAR,77,18
2020-04-15,Centre,TOS,139,18
2020-04-15,Centre,UMB,1,1
2020-04-15,Centre,LAZ,121,11
2020-04-15,South,ABR,29,8
2020-04-15,South,MOL,6,0
2020-04-15,South,CAM,38,18
2020-04-15,South,BAS,1,2
2020-04-15,South,PUG,66,10
2020-04-15,South,CAL,15,3
2020-04-15,Islands,SIC,34,6
2020-04-15,Islands,SAR,23,3
2020-04-16,North-West,VDA,13,1
2020-04-16,North-West,LIG,103,21
2020-04-16,North-West,PIE,879,79
2020-04-16,North-West,LOM,941,231
2020-04-16,North-East,VEN,366,41
2020-04-16,North-East,TN,74,4
2020-04-16,North-East,BZ,43,2
2020-04-16,North-East,FVG,72,5
2020-04-16,North-East,EMR,457,55
2020-04-16,Centre,MAR,79,18
2020-04-16,Centre,TOS,277,29
2020-04-16,Centre,UMB,7,1
2020-04-16,Centre,LAZ,148,5
2020-04-16,South,ABR,72,3
2020-04-16,South,MOL,0,1
2020-04-16,South,CAM,80,8
2020-04-16,South,BAS,16,1
2020-04-16,South,PUG,74,11
2020-04-16,South,CAL,38,1
2020-04-16,Islands,SIC,44,6
2020-04-16,Islands,SAR,3,2
2020-04-17,North-West,VDA,22,1
2020-04-17,North-West,LIG,149,38
2020-04-17,North-West,PIE,695,77
2020-04-17,North-West,LOM,1041,243
2020-04-17,North-East,VEN,384,45
2020-04-17,North-East,TN,82,20
2020-04-17,North-East,BZ,29,9
2020-04-17,North-East,FVG,59,3
2020-04-17,North-East,EMR,348,60
2020-04-17,Centre,MAR,86,21
2020-04-17,Centre,TOS,167,17
2020-04-17,Centre,UMB,8,2
2020-04-17,Centre,LAZ,144,16
2020-04-17,South,ABR,97,3
2020-04-17,South,MOL,6,0
2020-04-17,South,CAM,64,7
2020-04-17,South,BAS,1,0
2020-04-17,South,PUG,69,8
2020-04-17,South,CAL,-18,1
2020-04-17,Islands,SIC,46,3
2020-04-17,Islands,SAR,14,1
2020-04-18,North-West,VDA,80,1
2020-04-18,North-West,LIG,113,31
2020-04-18,North-West,PIE,661,81
2020-04-18,North-West,LOM,1246,199
2020-04-18,North-East,VEN,318,33
2020-04-18,North-East,TN,55,6
2020-04-18,North-East,BZ,29,5
2020-04-18,North-East,FVG,56,2
2020-04-18,North-East,EMR,350,62
2020-04-18,Centre,MAR,53,10
2020-04-18,Centre,TOS,127,16
2020-04-18,Centre,UMB,7,0
2020-04-18,Centre,LAZ,144,8
2020-04-18,South,ABR,44,7
2020-04-18,South,CAM,37,7
2020-04-18,South,BAS,2,1
2020-04-18,South,PUG,82,7
2020-04-18,South,CAL,20,0
2020-04-18,Islands,SIC,47,6
2020-04-18,Islands,SAR,20,0
2020-04-19,North-West,VDA,15,1
2020-04-19,North-West,LIG,227,31
2020-04-19,North-West,PIE,593,79
2020-04-19,North-West,LOM,855,163
2020-04-19,North-East,VEN,243,28
2020-04-19,North-East,TN,101,12
2020-04-19,North-East,BZ,55,6
2020-04-19,North-East,FVG,14,3
2020-04-19,North-East,EMR,376,58
2020-04-19,Centre,MAR,48,12
2020-04-19,Centre,TOS,135,19
2020-04-19,Centre,UMB,4,1
2020-04-19,Centre,LAZ,87,1
2020-04-19,South,ABR,34,5
2020-04-19,South,MOL,10,1
2020-04-19,South,CAM,41,4
2020-04-19,South,BAS,3,1
2020-04-19,South,PUG,120,2
2020-04-19,South,CAL,24,2
2020-04-19,Islands,SIC,45,4
2020-04-19,Islands,SAR,17,0
2020-04-20,North-West,VDA,0,2
2020-04-20,North-West,LIG,141,29
2020-04-20,North-West,PIE,292,78
2020-04-20,North-West,LOM,735,163
2020-04-20,North-East,VEN,192,25
2020-04-20,North-East,TN,58,6
2020-04-20,North-East,BZ,14,4
2020-04-20,North-East,FVG,30,14
2020-04-20,North-East,EMR,307,56
2020-04-20,Centre,MAR,57,15
2020-04-20,Centre,TOS,135,30
2020-04-20,Centre,UMB,1,0
2020-04-20,Centre,LAZ,60,8
2020-04-20,South,ABR,91,5
2020-04-20,South,MOL,2,1
2020-04-20,South,CAM,45,5
2020-04-20,South,PUG,38,10
2020-04-20,South,CAL,3,0
2020-04-20,Islands,SIC,42,3
2020-04-20,Islands,SAR,13,0
2020-04-21,North-West,VDA,5,-1
2020-04-21,North-West,LIG,95,33
2020-04-21,North-West,PIE,606,76
2020-04-21,North-West,LOM,960,203
2020-04-21,North-East,VEN,277,42
2020-04-21,North-East,TN,24,10
2020-04-21,North-East,BZ,16,2
2020-04-21,North-East,FVG,17,2
2020-04-21,North-East,EMR,225,68
2020-04-21,Centre,MAR,51,12
2020-04-21,Centre,TOS,96,19
2020-04-21,Centre,UMB,4,2
2020-04-21,Centre,LAZ,80,14
2020-04-21,South,ABR,55,8
2020-04-21,South,MOL,1,0
2020-04-21,South,CAM,61,8
2020-04-21,South,BAS,8,0
2020-04-21,South,PUG,55,25
2020-04-21,South,CAL,9,1
2020-04-21,Islands,SIC,76,3
2020-04-21,Islands,SAR,8,7
2020-04-22,North-West,VDA,2,1
2020-04-22,North-West,LIG,154,32
2020-04-22,North-West,PIE,784,74
2020-04-22,North-West,LOM,1161,161
2020-04-22,North-East,VEN,334,27
2020-04-22,North-East,TN,32,5
2020-04-22,North-East,BZ,6,5
2020-04-22,North-East,FVG,25,5
2020-04-22,North-East,EMR,342,57
2020-04-22,Centre,MAR,47,11
2020-04-22,Centre,TOS,97,19
2020-04-22,Centre,UMB,4,1
2020-04-22,Centre,LAZ,80,7
2020-04-22,South,ABR,66,5
2020-04-22,South,MOL,2,1
2020-04-22,South,CAM,50,10
2020-04-22,South,BAS,4,0
2020-04-22,South,PUG,108,11
2020-04-22,South,CAL,13,0
2020-04-22,Islands,SIC,48,2
2020-04-22,Islands,SAR,11,3
2020-04-23,North-West,VDA,1,0
2020-04-23,North-West,LIG,131,25
2020-04-23,North-West,PIE,401,71
2020-04-23,North-West,LOM,1073,200
2020-04-23,North-East,VEN,143,25
2020-04-23,North-East,TN,81,1
2020-04-23,North-East,BZ,19,5
2020-04-23,North-East,FVG,41,10
2020-04-23,North-East,EMR,289,65
2020-04-23,Centre,MAR,28,12
2020-04-23,Centre,TOS,80,18
2020-04-23,Centre,UMB,5,0
2020-04-23,Centre,LAZ,79,5
2020-04-23,South,ABR,52,4
2020-04-23,South,MOL,0,1
2020-04-23,South,CAM,53,5
2020-04-23,South,BAS,2,0
2020-04-23,South,PUG,109,10
2020-04-23,South,CAL,9,0
2020-04-23,Islands,SIC,43,5
2020-04-23,Islands,SAR,7,2
2020-04-24,North-West,VDA,4,2
2020-04-24,North-West,LIG,124,29
2020-04-24,North-West,PIE,682,69
2020-04-24,North-West,LOM,1091,166
2020-04-24,North-East,VEN,348,38
2020-04-24,North-East,TN,49,7
2020-04-24,North-East,BZ,21,2
2020-04-24,North-East,FVG,24,2
2020-04-24,North-East,EMR,247,34
2020-04-24,Centre,MAR,76,8
2020-04-24,Centre,TOS,97,19
2020-04-24,Centre,UMB,1,1
2020-04-24,Centre,LAZ,78,9
2020-04-24,South,ABR,18,6
2020-04-24,South,MOL,3,0
2020-04-24,South,CAM,44,4
2020-04-24,South,BAS,4,0
2020-04-24,South,PUG,42,11
2020-04-24,South,CAL,10,4
2020-04-24,Islands,SIC,55,5
2020-04-24,Islands,SAR,3,4
2020-04-25,North-West,VDA,0,1
2020-04-25,North-West,LIG,128,17
2020-04-25,North-West,PIE,604,68
2020-04-25,North-West,LOM,713,163
2020-04-25,North-East,VEN,162,44
2020-04-25,North-East,TN,62,11
2020-04-25,North-East,BZ,20,2
2020-04-25,North-East,FVG,21,5
2020-04-25,North-East,EMR,239,44
2020-04-25,Centre,MAR,30,9
2020-04-25,Centre,TOS,138,18
2020-04-25,Centre,UMB,3,1
2020-04-25,Centre,LAZ,92,3
2020-04-25,South,ABR,29,7
2020-04-25,South,MOL,5,1
2020-04-25,South,CAM,17,5
2020-04-25,South,BAS,1,1
2020-04-25,South,PUG,31,8
2020-04-25,South,CAL,9,0
2020-04-25,Islands,SIC,39,6
2020-04-25,Islands,SAR,14,1
2020-04-26,North-West,VDA,6,1
2020-04-26,North-West,LIG,187,21
2020-04-26,North-West,PIE,394,56
2020-04-26,North-West,LOM,920,56
2020-04-26,North-East,VEN,80,27
2020-04-26,North-East,TN,56,5
2020-04-26,North-East,BZ,5,4
2020-04-26,North-East,FVG,14,1
2020-04-26,North-East,EMR,241,39
2020-04-26,Centre,MAR,53,5
2020-04-26,Centre,TOS,132,18
2020-04-26,Centre,UMB,2,1
2020-04-26,Centre,LAZ,85,2
2020-04-26,South,ABR,27,2
2020-04-26,South,MOL,4,0
2020-04-26,South,CAM,32,4
2020-04-26,South,BAS,5,0
2020-04-26,South,PUG,36,8
2020-04-26,South,CAL,1,0
2020-04-26,Islands,SIC,35,4
2020-04-26,Islands,SAR,9,6
2020-04-27,North-West,VDA,5,2
2020-04-27,North-West,LIG,154,14
2020-04-27,North-West,PIE,278,55
2020-04-27,North-West,LOM,590,124
2020-04-27,North-East,VEN,108,29
2020-04-27,North-East,TN,101,2
2020-04-27,North-East,BZ,15,1
2020-04-27,North-East,FVG,60,7
2020-04-27,North-East,EMR,212,45
2020-04-27,Centre,MAR,16,5
2020-04-27,Centre,TOS,32,17
2020-04-27,Centre,UMB,2,1
2020-04-27,Centre,LAZ,83,8
2020-04-27,South,ABR,15,4
2020-04-27,South,CAM,18,7
2020-04-27,South,PUG,10,6
2020-04-27,South,CAL,7,3
2020-04-27,Islands,SIC,30,3
2020-04-27,Islands,SAR,3,0
2020-04-28,North-West,VDA,8,2
2020-04-28,North-West,LIG,130,13
2020-04-28,North-West,PIE,352,58
2020-04-28,North-West,LOM,869,126
2020-04-28,North-East,VEN,129,64
2020-04-28,North-East,TN,30,5
2020-04-28,North-East,BZ,2,2
2020-04-28,North-East,FVG,18,7
2020-04-28,North-East,EMR,252,41
2020-04-28,Centre,MAR,48,9
2020-04-28,Centre,TOS,52,16
2020-04-28,Centre,UMB,9,0
2020-04-28,Centre,LAZ,75,17
2020-04-28,South,ABR,25,11
2020-04-28,South,MOL,1,0
2020-04-28,South,CAM,31,6
2020-04-28,South,PUG,22,2
2020-04-28,South,CAL,1,2
2020-04-28,Islands,SIC,35,1
2020-04-28,Islands,SAR,2,0
2020-04-29,North-West,VDA,5,2
2020-04-29,North-West,LIG,117,11
2020-04-29,North-West,PIE,411,67
2020-04-29,North-West,LOM,786,104
2020-04-29,North-East,VEN,117,29
2020-04-29,North-East,TN,44,4
2020-04-29,North-East,BZ,9,2
2020-04-29,North-East,FVG,15,7
2020-04-29,North-East,EMR,263,40
2020-04-29,Centre,MAR,35,6
2020-04-29,Centre,TOS,61,16
2020-04-29,Centre,UMB,12,1
2020-04-29,Centre,LAZ,78,17
2020-04-29,South,ABR,24,5
2020-04-29,South,CAM,30,1
2020-04-29,South,PUG,49,3
2020-04-29,South,CAL,5,1
2020-04-29,Islands,SIC,20,0
2020-04-29,Islands,SAR,5,7
2020-04-30,North-West,VDA,4,0
2020-04-30,North-West,LIG,104,15
2020-04-30,North-West,PIE,428,63
2020-04-30,North-West,LOM,598,93
2020-04-30,North-East,VEN,135,22
2020-04-30,North-East,TN,47,2
2020-04-30,North-East,BZ,11,1
2020-04-30,North-East,FVG,15,4
2020-04-30,North-East,EMR,259,39
2020-04-30,Centre,MAR,37,7
2020-04-30,Centre,TOS,60,15
2020-04-30,Centre,UMB,1,1
2020-04-30,Centre,LAZ,71,10
2020-04-30,South,ABR,7,5
2020-04-30,South,MOL,1,0
2020-04-30,South,CAM,13,0
2020-04-30,South,BAS,1,0
2020-04-30,South,PUG,43,5
2020-04-30,South,CAL,6,0
2020-04-30,Islands,SIC,26,3
2020-04-30,Islands,SAR,5,0
2020-05-01,North-West,VDA,5,0
2020-05-01,North-West,LIG,133,17
2020-05-01,North-West,PIE,395,31
2020-05-01,North-West,LOM,737,88
2020-05-01,North-East,VEN,138,20
2020-05-01,North-East,TN,16,5
2020-05-01,North-East,BZ,10,3
2020-05-01,North-East,FVG,16,5
2020-05-01,North-East,EMR,208,28
2020-05-01,Centre,MAR,28,5
2020-05-01,Centre,TOS,93,12
2020-05-01,Centre,UMB,1,1
2020-05-01,Centre,LAZ,56,41
2020-05-01,South,ABR,18,4
2020-05-01,South,MOL,2,0
2020-05-01,South,CAM,21,0
2020-05-01,South,BAS,11,0
2020-05-01,South,PUG,27,6
2020-05-01,South,CAL,4,0
2020-05-01,Islands,SIC,28,2
2020-05-01,Islands,SAR,18,1
